account_code,account_name,statement_section,account_group,normal_balance
1000,Operating Cash,Balance Sheet,assets,debit
1005,Payroll Cash,Balance Sheet,assets,debit
1100,Accounts Receivable - Insurance,Balance Sheet,assets,debit
1105,Accounts Receivable - Patient,Balance Sheet,assets,debit
1115,Allowance for Doubtful Accounts,Balance Sheet,assets_contra,credit
1200,Inventory - Clinical Supplies,Balance Sheet,assets,debit
1210,Prepaid Insurance,Balance Sheet,assets,debit
1215,Prepaid Rent,Balance Sheet,assets,debit
1300,Dental Equipment - Gross,Balance Sheet,assets,debit
1310,Leasehold Improvements - Gross,Balance Sheet,assets,debit
1320,Accumulated Depreciation,Balance Sheet,assets_contra,credit
1325,ROU Asset - Operating Leases,Balance Sheet,assets,debit
2000,Accounts Payable - Trade,Balance Sheet,liabilities,credit
2005,Accounts Payable - Labs,Balance Sheet,liabilities,credit
2010,Accrued Payroll and Taxes,Balance Sheet,liabilities,credit
2025,Accrued Other Expenses,Balance Sheet,liabilities,credit
2035,Patient Prepayments,Balance Sheet,liabilities,credit
2040,Deferred Revenue - Membership Plan,Balance Sheet,liabilities,credit
2055,Line of Credit,Balance Sheet,liabilities,credit
2060,Long-term Debt,Balance Sheet,liabilities,credit
3000,Common Stock,Balance Sheet,equity,credit
3005,Additional Paid-in Capital,Balance Sheet,equity,credit
3010,Retained Earnings,Balance Sheet,equity,credit
3015,Owner Distributions,Balance Sheet,equity_contra,debit
3045,Current Year Earnings,Balance Sheet,equity,credit
4000,Hygiene Preventive Revenue,Revenue,revenue_service,credit
4005,Hygiene Periodontal Revenue,Revenue,revenue_service,credit
4010,Periodic Exams Revenue,Revenue,revenue_service,credit
4015,New Patient Exams Revenue,Revenue,revenue_service,credit
4020,Restorative Fillings Revenue,Revenue,revenue_service,credit
4025,Crown and Bridge Revenue,Revenue,revenue_service,credit
4030,Endodontic Revenue,Revenue,revenue_service,credit
4035,Oral Surgery Revenue,Revenue,revenue_service,credit
4040,Invisalign Revenue,Revenue,revenue_service,credit
4045,Whitening Revenue,Revenue,revenue_service,credit
4050,Pediatric Dentistry Revenue,Revenue,revenue_service,credit
4055,Implant Placement Revenue,Revenue,revenue_service,credit
4060,Implant Restoration Revenue,Revenue,revenue_service,credit
4065,Prosthodontic Revenue,Revenue,revenue_service,credit
4070,Emergency Visit Revenue,Revenue,revenue_service,credit
4075,Radiography and Diagnostics Revenue,Revenue,revenue_service,credit
4080,Night Guard and Appliance Revenue,Revenue,revenue_service,credit
4085,Other Clinical Revenue,Revenue,revenue_service,credit
4090,Insurance Reimbursements True-up,Revenue,revenue_other,credit
4091,Dental Membership Plan Revenue,Revenue,revenue_other,credit
4092,Sedation Adjunct Revenue,Revenue,revenue_other,credit
4093,Cancellation and Late Fee Revenue,Revenue,revenue_other,credit
4094,Capitation Revenue,Revenue,revenue_other,credit
4095,Contractual Adjustments and Write-offs,Revenue,revenue_contra,debit
4096,Lab Cost Reimbursements,Revenue,revenue_other,credit
5000,Dental Consumable Supplies,COGS,cogs,debit
5005,Sterilization Supplies,COGS,cogs,debit
5010,Anesthesia and Sedation Drugs,COGS,cogs,debit
5015,Implant Components,COGS,cogs,debit
5020,Endodontic Materials,COGS,cogs,debit
5025,Oral Surgery Supplies,COGS,cogs,debit
5030,Orthodontic Aligner Lab Fees,COGS,cogs,debit
5035,Crown and Bridge Lab Fees,COGS,cogs,debit
5040,Denture and Prosthetic Lab Fees,COGS,cogs,debit
5045,Whitening Material Costs,COGS,cogs,debit
5050,PPE and Infection Control,COGS,cogs,debit
5055,Clinical Laundry and Linen,COGS,cogs,debit
5060,Merchant Processing - Patient Payments,COGS,cogs,debit
5065,Small Clinical Instruments,COGS,cogs,debit
5070,Disposable Chairside Kits,COGS,cogs,debit
5075,Temporary Crown Materials,COGS,cogs,debit
5080,Nitrous Oxide and Gas Supplies,COGS,cogs,debit
5085,Intraoral Scanner Tips,COGS,cogs,debit
5090,Surgical Sutures and Dressings,COGS,cogs,debit
5095,Lab Shipping and Handling,COGS,cogs,debit
6000,Dentist Payroll,Operating Expense,opex,debit
6005,Dentist Payroll Taxes,Operating Expense,opex,debit
6010,Hygienist Payroll,Operating Expense,opex,debit
6015,Hygienist Payroll Taxes,Operating Expense,opex,debit
6020,Dental Assistant Payroll,Operating Expense,opex,debit
6025,Dental Assistant Payroll Taxes,Operating Expense,opex,debit
6030,Front Desk Payroll,Operating Expense,opex,debit
6035,Front Desk Payroll Taxes,Operating Expense,opex,debit
6040,Practice Manager Payroll,Operating Expense,opex,debit
6045,Practice Manager Payroll Taxes,Operating Expense,opex,debit
6050,Employee Benefits - Health,Operating Expense,opex,debit
6055,Employee Benefits - Retirement,Operating Expense,opex,debit
6060,Rent - Main Clinic,Operating Expense,opex,debit
6065,Rent - Satellite Operatories,Operating Expense,opex,debit
6070,Common Area Maintenance,Operating Expense,opex,debit
6075,Property Insurance,Operating Expense,opex,debit
6080,Utilities - Electric and Gas,Operating Expense,opex,debit
6085,Utilities - Water and Waste,Operating Expense,opex,debit
6090,Telephone and Internet,Operating Expense,opex,debit
6095,Software Subscriptions - PMS,Operating Expense,opex,debit
6100,Software Subscriptions - Imaging,Operating Expense,opex,debit
6105,IT Support and Cybersecurity,Operating Expense,opex,debit
6110,Marketing - Digital Ads,Operating Expense,opex,debit
6115,Marketing - Community Outreach,Operating Expense,opex,debit
6120,Professional Fees - Legal,Operating Expense,opex,debit
6125,Professional Fees - Accounting,Operating Expense,opex,debit
6130,Bank Charges and ACH Fees,Operating Expense,opex,debit
6135,Office Supplies,Operating Expense,opex,debit
6140,Repairs and Maintenance - Equipment,Operating Expense,opex,debit
6145,Repairs and Maintenance - Facility,Operating Expense,opex,debit
6150,Travel and Training,Operating Expense,opex,debit
6155,Licenses and Continuing Education,Operating Expense,opex,debit
6160,Insurance - Malpractice,Operating Expense,opex,debit
6165,Insurance - General Liability,Operating Expense,opex,debit
6170,Janitorial Services,Operating Expense,opex,debit
6175,Waste Disposal - Biohazard,Operating Expense,opex,debit
6180,Dues and Subscriptions,Operating Expense,opex,debit
6185,Patient Financing Fees,Operating Expense,opex,debit
6190,Bad Debt Expense,Operating Expense,opex,debit
6195,Depreciation Expense,Operating Expense,opex,debit
6200,Amortization Expense,Operating Expense,opex,debit
6205,Interest Expense,Operating Expense,opex,debit
6210,State Franchise and Local Taxes,Operating Expense,opex,debit
6215,Recruiting Expense,Operating Expense,opex,debit
6220,Postage and Courier,Operating Expense,opex,debit
6225,Security Monitoring,Operating Expense,opex,debit
6230,Clinical Consulting Fees,Operating Expense,opex,debit
6235,Temporary Staffing,Operating Expense,opex,debit
6240,Software Implementation Costs,Operating Expense,opex,debit
6245,Smallwares and Breakroom,Operating Expense,opex,debit
