account_number,account_name,statement,line_key,line_name,group_key,sort_order,sign_multiplier,notes
4000,revenue,IS,IS_REV,Revenue,IS_Revenue,10,-1,Model-generated mapping (no file provided)
4010,revenue,IS,IS_REV,Revenue,IS_Revenue,10,-1,Model-generated mapping (no file provided)
4020,revenue,IS,IS_REV,Revenue,IS_Revenue,10,-1,Model-generated mapping (no file provided)
4090,revenue,IS,IS_REV,Revenue,IS_Revenue,10,-1,Model-generated mapping (no file provided)
5000,cost_of_goods_sold,IS,IS_COGS,Cost of goods sold,IS_COGS,20,-1,Model-generated mapping (no file provided)
5100,cost_of_goods_sold,IS,IS_COGS,Cost of goods sold,IS_COGS,20,-1,Model-generated mapping (no file provided)
5200,cost_of_goods_sold,IS,IS_COGS,Cost of goods sold,IS_COGS,20,-1,Model-generated mapping (no file provided)
5300,cost_of_goods_sold,IS,IS_COGS,Cost of goods sold,IS_COGS,20,-1,Model-generated mapping (no file provided)
6000,operating_expenses,IS,IS_OPEX,Operating expenses,IS_OPEX,30,-1,Model-generated mapping (no file provided)
6100,operating_expenses,IS,IS_OPEX,Operating expenses,IS_OPEX,30,-1,Model-generated mapping (no file provided)
6200,operating_expenses,IS,IS_OPEX,Operating expenses,IS_OPEX,30,-1,Model-generated mapping (no file provided)
6300,operating_expenses,IS,IS_OPEX,Operating expenses,IS_OPEX,30,-1,Model-generated mapping (no file provided)
6400,operating_expenses,IS,IS_OPEX,Operating expenses,IS_OPEX,30,-1,Model-generated mapping (no file provided)
1000,cash,BS,BS_CASH,Cash,BS_Assets,100,1,Model-generated mapping (no file provided)
1100,accounts_receivable,BS,BS_AR,Accounts receivable,BS_Assets,110,1,Model-generated mapping (no file provided)
,prepaid,BS,BS_OCA,Other current assets,BS_Assets,120,1,Model-generated mapping (no file provided)
,fixed_assets,BS,BS_PPE,PP&E,BS_Assets,130,1,Model-generated mapping (no file provided)
,accum_depr,BS,BS_OTA,Other assets,BS_Assets,140,1,Model-generated mapping (no file provided)
2000,accounts_payable,BS,BS_AP,Accounts payable,BS_Liab,200,1,Model-generated mapping (no file provided)
,accrued,BS,BS_ACCR,Accrued liabilities,BS_Liab,210,1,Model-generated mapping (no file provided)
,deferred,BS,BS_OL,Other liabilities,BS_Liab,220,1,Model-generated mapping (no file provided)
2500,long_term_debt,BS,BS_DEBT,Debt,BS_Liab,230,1,Model-generated mapping (no file provided)
3000,acct_3000,BS,BS_EQ,Equity,BS_Equity,300,1,Model-generated mapping (no file provided)
3200,acct_3200,BS,BS_EQ,Equity,BS_Equity,300,1,Model-generated mapping (no file provided)
